LST_DATE,LST_TIME,T_HR_AVG,P_CALC
20181231,2000,13.0,0.7
20181231,2100,14.2,0.0
20181231,2200,15.2,0.0
20181231,2300,15.3,0.0
20190101,0000,14.7,0.0
20190101,0100,12.8,0.0
20190101,0200,10.9,0.0
20190101,0300,8.7,0.0
20190101,0400,6.9,0.0
20190101,0500,5.1,0.0
20190101,0600,4.2,0.0
20190101,0700,3.8,0.0
20190101,0800,3.4,0.0
20190101,0900,3.2,0.0
20190101,1000,3.2,0.0
20190101,1100,3.2,0.0
20190101,1200,3.4,0.0
20190101,1300,3.4,0.0
20190101,1400,3.2,0.0
20190101,1500,3.2,0.0
20190101,1600,3.2,0.0
20190101,1700,3.1,0.0
20190101,1800,2.9,0.0
20190101,1900,2.4,0.0
20190101,2000,1.8,0.0
20190101,2100,1.6,0.2
20190101,2200,1.6,0.0
20190101,2300,1.5,0.0
20190102,0000,1.3,0.0
20190102,0100,1.2,0.0
20190102,0200,1.2,0.0
20190102,0300,1.2,0.0
20190102,0400,1.1,0.0
20190102,0500,0.8,0.0
20190102,0600,0.5,0.0
20190102,0700,0.5,0.0
20190102,0800,0.5,0.0
20190102,0900,0.6,0.0
20190102,1000,1.2,0.0
20190102,1100,1.9,0.0
20190102,1200,2.6,0.0
20190102,1300,3.0,0.0
20190102,1400,3.4,0.0
20190102,1500,3.7,0.0
20190102,1600,3.7,0.0
20190102,1700,3.5,0.0
20190102,1800,3.5,0.0
20190102,1900,3.6,0.0
20190102,2000,3.7,0.0
20190102,2100,3.8,0.0
20190102,2200,4.2,0.0
20190102,2300,3.6,0.0
20190103,0000,1.5,0.0
20190103,0100,0.6,0.2
20190103,0200,-0.2,0.0
20190103,0300,-0.4,0.0
20190103,0400,-0.4,0.0
20190103,0500,-0.7,0.0
20190103,0600,-0.9,0.0
20190103,0700,-1.0,0.0
20190103,0800,-0.9,0.0
20190103,0900,-0.9,0.0
20190103,1000,-0.9,0.0
20190103,1100,-0.8,0.0
20190103,1200,-0.5,0.0
20190103,1300,0.1,0.0
20190103,1400,0.4,0.0
20190103,1500,0.8,0.0
20190103,1600,1.7,0.0
20190103,1700,1.6,0.0
20190103,1800,0.5,0.0
20190103,1900,-0.1,0.0
20190103,2000,-0.4,0.0
20190103,2100,-0.5,0.0
20190103,2200,-0.6,0.0
20190103,2300,-0.7,0.0
20190104,0000,-0.7,0.0
20190104,0100,-1.0,0.0
20190104,0200,-1.1,0.0
20190104,0300,-1.0,0.0
20190104,0400,-0.7,0.0
