LST_DATE,LST_TIME,T_HR_AVG,P_CALC
20201231,2000,-1.2,0.0
20201231,2100,-1.2,0.0
20201231,2200,-1.1,0.0
20201231,2300,-1.1,0.0
20210101,0000,-1.5,0.0
20210101,0100,-1.6,0.0
20210101,0200,-1.4,0.0
20210101,0300,-1.6,0.0
20210101,0400,-1.6,0.0
20210101,0500,-2.0,0.0
20210101,0600,-2.2,0.0
20210101,0700,-1.9,0.0
20210101,0800,-1.6,0.0
20210101,0900,-1.3,0.0
20210101,1000,-1.0,0.9
20210101,1100,-0.7,2.3
20210101,1200,-0.3,2.5
20210101,1300,-0.1,2.0
20210101,1400,0.3,1.4
20210101,1500,0.8,3.0
20210101,1600,1.1,3.3
20210101,1700,1.3,0.0
20210101,1800,1.7,0.0
20210101,1900,2.4,0.0
20210101,2000,2.9,0.0
20210101,2100,4.3,0.0
20210101,2200,6.8,0.3
20210101,2300,8.0,0.7
20210102,0000,8.4,0.0
20210102,0100,7.9,0.0
20210102,0200,6.7,0.0
20210102,0300,6.2,0.0
20210102,0400,6.0,0.0
20210102,0500,5.1,0.0
20210102,0600,3.5,0.0
20210102,0700,2.9,0.0
20210102,0800,2.0,0.0
20210102,0900,1.7,0.0
20210102,1000,1.9,0.0
20210102,1100,2.1,0.0
20210102,1200,2.1,0.0
20210102,1300,2.1,0.0
20210102,1400,2.4,0.0
20210102,1500,2.5,0.0
20210102,1600,2.6,0.0
20210102,1700,2.5,0.0
20210102,1800,2.2,0.0
20210102,1900,2.2,0.0
20210102,2000,2.1,0.0
20210102,2100,2.1,0.0
20210102,2200,2.1,0.0
20210102,2300,2.1,0.0
20210103,0000,2.1,0.0
20210103,0100,1.9,0.0
20210103,0200,1.9,0.0
20210103,0300,1.8,1.2
20210103,0400,1.7,0.4
20210103,0500,1.8,0.0
20210103,0600,1.9,0.3
20210103,0700,1.9,0.0
20210103,0800,1.9,0.3
20210103,0900,1.9,0.2
20210103,1000,2.0,0.0
