LST_DATE,LST_TIME,T_HR_AVG,P_CALC
20191231,2000,-2.5,0.0
20191231,2100,-2.8,0.0
20191231,2200,-3.3,0.0
20191231,2300,-2.9,0.4
20200101,0000,-2.7,0.0
20200101,0100,-2.4,0.0
20200101,0200,-2.2,0.0
20200101,0300,-2.3,0.0
20200101,0400,-2.3,0.0
20200101,0500,-2.3,0.0
20200101,0600,-2.2,0.0
20200101,0700,-1.7,0.0
20200101,0800,-1.8,0.0
20200101,0900,-1.8,0.0
20200101,1000,-1.5,0.0
20200101,1100,-0.7,0.0
20200101,1200,0.3,0.0
20200101,1300,1.3,0.0
20200101,1400,1.8,0.0
20200101,1500,2.6,0.0
20200101,1600,3.2,0.0
20200101,1700,3.1,0.0
20200101,1800,2.3,0.0
20200101,1900,2.0,0.0
20200101,2000,2.0,0.0
20200101,2100,2.0,0.0
20200101,2200,1.9,0.0
20200101,2300,2.0,0.0
20200102,0000,1.8,0.0
20200102,0100,1.6,0.0
20200102,0200,1.7,0.0
20200102,0300,1.3,0.0
20200102,0400,1.2,0.0
20200102,0500,1.3,0.0
20200102,0600,1.1,0.0
20200102,0700,0.7,0.0
20200102,0800,0.8,0.0
20200102,0900,1.1,0.0
20200102,1000,2.2,0.0
20200102,1100,3.2,0.0
20200102,1200,4.0,0.0
20200102,1300,4.8,0.0
20200102,1400,6.3,0.0
20200102,1500,7.8,0.0
20200102,1600,7.8,0.0
20200102,1700,7.9,0.0
20200102,1800,7.8,0.0
20200102,1900,7.7,0.0
20200102,2000,7.7,0.0
20200102,2100,7.8,0.0
20200102,2200,7.8,0.0
20200102,2300,7.6,0.0
20200103,0000,6.8,0.0
20200103,0100,6.7,0.9
20200103,0200,6.8,0.9
20200103,0300,7.0,0.8
20200103,0400,7.0,0.4
20200103,0500,7.0,0.5
20200103,0600,7.2,0.8
20200103,0700,7.0,1.7
20200103,0800,7.0,0.4
20200103,0900,7.3,0.7
20200103,1000,7.5,0.4
20200103,1100,8.0,0.0
20200103,1200,8.7,0.0
20200103,1300,8.8,0.2
20200103,1400,8.9,0.0
20200103,1500,8.8,0.0
20200103,1600,8.6,0.5
20200103,1700,7.8,0.2
20200103,1800,7.6,0.0
20200103,1900,7.4,0.2
20200103,2000,7.3,0.2
20200103,2100,7.2,0.3
20200103,2200,6.8,1.3
20200103,2300,6.5,1.1
20200104,0000,6.1,0.6
20200104,0100,5.8,1.3
20200104,0200,5.5,0.7
20200104,0300,5.2,0.0
20200104,0400,4.7,0.2
20200104,0500,4.2,0.0
20200104,0600,3.7,0.0
20200104,0700,3.4,0.0
20200104,0800,2.9,0.0
20200104,0900,2.7,0.0
20200104,1000,2.5,0.0
20200104,1100,2.7,0.0
20200104,1200,2.7,0.0
20200104,1300,2.9,0.3
20200104,1400,2.6,0.0
20200104,1500,2.1,0.3
20200104,1600,1.7,0.3
20200104,1700,0.9,0.2
20200104,1800,0.6,0.2
20200104,1900,0.3,0.3
20200104,2000,0.0,0.0
20200104,2100,-0.2,0.2
