LST_DATE,LST_TIME,T_HR_AVG,P_CALC
20171231,2000,-13.9,0.0
20171231,2100,-14.5,0.0
20171231,2200,-15.5,0.0
20171231,2300,-16.5,0.0
20180101,0000,-17.2,0.0
20180101,0100,-17.6,0.0
20180101,0200,-17.9,0.0
20180101,0300,-17.9,0.0
20180101,0400,-18.4,0.0
20180101,0500,-19.1,0.0
20180101,0600,-19.9,0.0
20180101,0700,-21.3,0.0
20180101,0800,-19.8,0.0
20180101,0900,-18.9,0.0
20180101,1000,-17.4,0.0
20180101,1100,-16.4,0.0
20180101,1200,-14.6,0.0
20180101,1300,-13.5,0.0
20180101,1400,-13.5,0.0
20180101,1500,-13.1,0.0
20180101,1600,-13.2,0.0
20180101,1700,-13.1,0.0
20180101,1800,-13.3,0.0
20180101,1900,-13.8,0.0
20180101,2000,-14.4,0.0
20180101,2100,-14.7,0.0
20180101,2200,-14.8,0.0
20180101,2300,-15.1,0.0
20180102,0000,-15.2,0.0
20180102,0100,-15.4,0.0
20180102,0200,-15.7,0.0
20180102,0300,-15.9,0.0
20180102,0400,-15.9,0.0
20180102,0500,-15.9,0.0
20180102,0600,-15.9,0.0
20180102,0700,-15.9,0.0
20180102,0800,-15.9,0.0
20180102,0900,-16.0,0.0
20180102,1000,-15.8,0.0
20180102,1100,-15.2,0.0
20180102,1200,-14.2,0.0
20180102,1300,-13.4,0.0
20180102,1400,-12.9,0.0
20180102,1500,-12.1,0.0
20180102,1600,-11.8,0.0
20180102,1700,-12.0,0.0
20180102,1800,-13.1,0.0
20180102,1900,-14.3,0.0
20180102,2000,-15.3,0.0
20180102,2100,-15.7,0.0
20180102,2200,-15.7,0.0
20180102,2300,-15.5,0.0
20180103,0000,-15.6,0.0
20180103,0100,-15.6,0.0
20180103,0200,-16.3,0.0
20180103,0300,-16.3,0.0
20180103,0400,-16.2,0.0
20180103,0500,-15.7,0.0
20180103,0600,-16.0,0.0
20180103,0700,-16.0,0.0
20180103,0800,-15.7,0.0
20180103,0900,-14.9,0.0
20180103,1000,-13.8,0.0
20180103,1100,-12.2,0.0
20180103,1200,-10.8,0.0
20180103,1300,-9.7,0.0
20180103,1400,-7.6,0.0
20180103,1500,-6.6,0.0
20180103,1600,-6.6,0.0
20180103,1700,-6.7,0.0
20180103,1800,-7.5,0.0
20180103,1900,-8.2,0.0
20180103,2000,-8.5,0.0
20180103,2100,-8.7,0.0
20180103,2200,-9.1,0.0
20180103,2300,-9.3,0.0
20180104,0000,-9.4,0.0
20180104,0100,-9.5,0.0
20180104,0200,-9.7,0.0
20180104,0300,-9.7,0.0
20180104,0400,-9.7,0.0
20180104,0500,-9.7,0.2
20180104,0600,-10.2,0.0
20180104,0700,-11.1,0.0
20180104,0800,-11.5,0.0
20180104,0900,-11.9,0.0
20180104,1000,-12.1,0.0
20180104,1100,-11.9,0.0
20180104,1200,-11.9,0.3
20180104,1300,-12.0,0.0
20180104,1400,-12.0,0.0
20180104,1500,-12.2,0.0
20180104,1600,-12.5,0.0
20180104,1700,-12.7,0.0
20180104,1800,-13.0,0.0
20180104,1900,-13.6,0.0
20180104,2000,-15.0,0.0
20180104,2100,-15.8,0.0
20180104,2200,-16.2,0.0
20180104,2300,-17.0,0.0
20180105,0000,-17.4,0.0
20180105,0100,-17.5,0.0
20180105,0200,-17.9,0.0
20180105,0300,-18.6,0.0
20180105,0400,-18.8,0.0
20180105,0500,-19.4,0.0
20180105,0600,-19.6,0.0
20180105,0700,-19.7,0.0
20180105,0800,-19.9,0.0
20180105,0900,-19.8,0.0
20180105,1000,-18.8,0.0
20180105,1100,-17.3,0.0
20180105,1200,-15.8,0.0
20180105,1300,-14.7,0.0
20180105,1400,-14.0,0.0
20180105,1500,-13.7,0.0
20180105,1600,-13.5,0.0
20180105,1700,-13.8,0.0
20180105,1800,-14.8,0.0
20180105,1900,-15.5,0.0
20180105,2000,-16.2,0.0
20180105,2100,-17.0,0.0
20180105,2200,-17.6,0.0
20180105,2300,-17.8,0.0
20180106,0000,-18.1,0.0
20180106,0100,-18.3,0.0
20180106,0200,-17.5,0.0
20180106,0300,-18.0,0.0
20180106,0400,-18.5,0.0
20180106,0500,-19.2,0.0
20180106,0600,-19.6,0.0
20180106,0700,-19.7,0.0
20180106,0800,-19.8,0.0
20180106,0900,-19.3,0.0
20180106,1000,-18.1,0.0
20180106,1100,-15.8,0.0
20180106,1200,-14.1,0.0
20180106,1300,-13.6,0.0
20180106,1400,-13.5,0.0
20180106,1500,-13.1,0.0
20180106,1600,-13.3,0.0
20180106,1700,-13.8,0.0
20180106,1800,-14.5,0.0
20180106,1900,-15.1,0.0
20180106,2000,-15.7,0.0
20180106,2100,-16.5,0.0
20180106,2200,-18.1,0.0
20180106,2300,-19.0,0.0
20180107,0000,-20.2,0.0
20180107,0100,-20.7,0.0
20180107,0200,-21.4,0.0
20180107,0300,-20.1,0.0
20180107,0400,-20.9,0.0
20180107,0500,-20.2,0.0
20180107,0600,-17.6,0.0
20180107,0700,-16.4,0.0
20180107,0800,-15.9,0.0
20180107,0900,-15.0,0.0
20180107,1000,-14.4,0.0
20180107,1100,-13.0,0.0
20180107,1200,-11.5,0.0
20180107,1300,-9.8,0.0
20180107,1400,-8.0,0.0
20180107,1500,-6.9,0.0
20180107,1600,-5.9,0.0
20180107,1700,-5.8,0.0
20180107,1800,-5.7,0.0
20180107,1900,-5.4,0.0
20180107,2000,-5.2,0.0
20180107,2100,-4.9,0.0
20180107,2200,-4.2,0.0
20180107,2300,-3.8,0.0
20180108,0000,-3.0,0.0
20180108,0100,-3.2,0.0
20180108,0200,-2.7,0.0
20180108,0300,-2.4,0.0
20180108,0400,-2.1,0.0
20180108,0500,-1.7,1.1
20180108,0600,-1.6,0.7
20180108,0700,-1.5,0.5
20180108,0800,-0.6,1.1
20180108,0900,-0.1,0.9
20180108,1000,0.1,0.0
20180108,1100,0.3,0.2
20180108,1200,0.6,0.0
20180108,1300,1.0,0.0
20180108,1400,0.9,0.0
20180108,1500,0.9,0.0
20180108,1600,0.9,0.0
20180108,1700,0.9,0.0
20180108,1800,1.0,0.0
20180108,1900,1.1,0.0
20180108,2000,1.2,0.0
20180108,2100,1.2,0.0
20180108,2200,1.1,0.0
20180108,2300,0.9,0.0
20180109,0000,0.4,0.0
20180109,0100,-0.4,0.0
20180109,0200,-1.2,0.0
20180109,0300,-1.6,0.0
20180109,0400,-1.8,0.0
20180109,0500,-1.9,0.0
20180109,0600,-1.7,0.0
20180109,0700,-1.6,0.0
20180109,0800,-1.5,0.0
20180109,0900,-1.5,0.0
20180109,1000,-1.3,0.0
20180109,1100,-1.3,0.0
20180109,1200,-1.0,0.0
20180109,1300,-0.8,0.0
20180109,1400,-0.5,0.0
20180109,1500,-0.3,0.0
20180109,1600,0.2,0.0
20180109,1700,0.1,0.0
20180109,1800,-0.8,0.0
20180109,1900,-1.4,0.0
20180109,2000,-1.6,0.0
20180109,2100,-1.6,0.0
20180109,2200,-2.3,0.0
20180109,2300,-2.9,0.0
20180110,0000,-2.7,0.0
20180110,0100,-3.3,0.0
20180110,0200,-3.9,0.0
20180110,0300,-3.8,0.0
20180110,0400,-4.1,0.0
20180110,0500,-4.3,0.0
20180110,0600,-4.1,0.0
20180110,0700,-3.2,0.0
20180110,0800,-1.7,0.0
20180110,0900,0.0,0.0
20180110,1000,0.8,0.0
20180110,1100,1.9,0.0
20180110,1200,3.6,0.0
20180110,1300,5.2,0.0
20180110,1400,6.2,0.0
20180110,1500,7.0,0.0
20180110,1600,7.5,0.0
20180110,1700,7.2,0.0
20180110,1800,7.4,0.0
20180110,1900,7.8,0.0
20180110,2000,8.3,0.0
20180110,2100,8.3,0.0
20180110,2200,8.5,0.0
20180110,2300,9.6,0.0
20180111,0000,10.0,0.0
20180111,0100,10.3,0.0
20180111,0200,10.9,0.0
20180111,0300,11.2,0.0
20180111,0400,11.3,0.0
20180111,0500,11.2,0.0
20180111,0600,10.9,0.0
20180111,0700,10.8,0.0
20180111,0800,10.6,0.0
20180111,0900,10.8,0.0
20180111,1000,11.2,0.0
20180111,1100,12.6,0.0
20180111,1200,13.1,0.0
20180111,1300,13.9,0.0
20180111,1400,14.3,0.5
20180111,1500,12.9,0.8
20180111,1600,12.5,2.0
20180111,1700,12.7,0.0
20180111,1800,13.4,0.2
20180111,1900,13.8,0.3
20180111,2000,13.8,0.6
20180111,2100,13.8,0.7
20180111,2200,13.6,0.5
20180111,2300,13.6,5.1
20180112,0000,13.4,0.7
20180112,0100,13.9,0.0
20180112,0200,13.6,0.2
20180112,0300,13.7,0.2
20180112,0400,13.7,0.0
20180112,0500,13.8,0.0
20180112,0600,13.8,0.0
20180112,0700,13.9,0.0
20180112,0800,14.0,0.0
20180112,0900,14.0,0.0
20180112,1000,10.6,5.2
20180112,1100,3.7,1.7
20180112,1200,1.3,2.2
20180112,1300,0.3,1.1
20180112,1400,-0.7,1.4
20180112,1500,-1.6,1.4
20180112,1600,-3.0,0.6
20180112,1700,-3.9,0.0
20180112,1800,-4.2,0.6
20180112,1900,-4.5,0.3
20180112,2000,-4.8,0.0
20180112,2100,-5.4,0.5
20180112,2200,-6.6,0.8
20180112,2300,-7.1,0.8
20180113,0000,-7.6,0.6
20180113,0100,-7.9,0.6
20180113,0200,-8.1,1.6
20180113,0300,-8.2,0.9
20180113,0400,-8.3,0.2
20180113,0500,-8.2,0.0
20180113,0600,-8.4,0.0
20180113,0700,-9.0,0.0
20180113,0800,-9.5,0.2
20180113,0900,-9.8,0.0
20180113,1000,-9.6,0.0
20180113,1100,-9.7,0.0
20180113,1200,-9.5,0.0
20180113,1300,-9.6,0.0
20180113,1400,-9.7,0.0
20180113,1500,-9.7,0.0
20180113,1600,-9.7,0.0
20180113,1700,-9.9,0.0
20180113,1800,-10.2,0.0
20180113,1900,-10.9,0.0
20180113,2000,-11.6,0.0
20180113,2100,-11.9,0.0
20180113,2200,-12.6,0.0
20180113,2300,-13.5,0.0
20180114,0000,-13.7,0.0
20180114,0100,-13.5,0.0
20180114,0200,-13.3,0.0
20180114,0300,-13.6,0.0
20180114,0400,-13.6,0.0
20180114,0500,-13.6,0.0
20180114,0600,-13.4,0.0
20180114,0700,-13.2,0.0
20180114,0800,-13.7,0.0
20180114,0900,-14.0,0.0
20180114,1000,-13.5,0.0
20180114,1100,-11.6,0.0
20180114,1200,-10.5,0.0
20180114,1300,-10.0,0.0
20180114,1400,-9.8,0.0
20180114,1500,-9.8,0.0
20180114,1600,-9.9,0.0
20180114,1700,-10.2,0.0
20180114,1800,-11.1,0.0
20180114,1900,-12.1,0.0
20180114,2000,-12.4,0.0
20180114,2100,-13.1,0.0
20180114,2200,-13.2,0.0
20180114,2300,-13.4,0.0
20180115,0000,-13.2,0.0
20180115,0100,-13.0,0.0
20180115,0200,-13.1,0.0
20180115,0300,-13.3,0.0
20180115,0400,-13.0,0.0
20180115,0500,-12.7,0.0
20180115,0600,-12.3,0.0
20180115,0700,-11.7,0.0
20180115,0800,-11.2,0.0
20180115,0900,-10.8,0.0
20180115,1000,-10.6,0.3
20180115,1100,-9.5,0.0
20180115,1200,-7.9,0.0
20180115,1300,-6.7,0.0
20180115,1400,-6.0,0.4
20180115,1500,-5.5,0.3
20180115,1600,-5.0,0.6
20180115,1700,-4.6,0.4
20180115,1800,-4.3,0.5
20180115,1900,-4.2,0.2
20180115,2000,-4.0,0.0
20180115,2100,-3.9,0.0
20180115,2200,-3.9,0.0
20180115,2300,-3.8,0.0
20180116,0000,-3.8,0.0
20180116,0100,-4.4,0.0
20180116,0200,-4.8,0.0
20180116,0300,-5.2,0.0
20180116,0400,-5.1,0.0
20180116,0500,-6.3,0.0
20180116,0600,-9.2,0.0
20180116,0700,-10.3,0.0
20180116,0800,-11.7,0.0
20180116,0900,-13.0,0.0
20180116,1000,-14.9,0.0
20180116,1100,-14.9,0.0
20180116,1200,-14.2,0.0
20180116,1300,-13.2,0.0
20180116,1400,-12.6,0.0
20180116,1500,-12.1,0.0
20180116,1600,-12.1,0.0
20180116,1700,-12.1,0.0
20180116,1800,-12.8,0.0
20180116,1900,-13.0,0.0
20180116,2000,-14.1,0.0
20180116,2100,-15.0,0.0
20180116,2200,-16.2,0.0
20180116,2300,-16.8,0.0
20180117,0000,-16.8,0.0
20180117,0100,-16.6,0.0
20180117,0200,-16.5,0.0
20180117,0300,-16.8,0.0
20180117,0400,-17.3,0.0
20180117,0500,-17.0,0.0
20180117,0600,-16.6,0.0
20180117,0700,-16.1,0.0
20180117,0800,-15.7,0.0
20180117,0900,-15.1,0.0
20180117,1000,-14.5,0.0
20180117,1100,-13.6,0.0
20180117,1200,-12.5,0.0
20180117,1300,-12.2,0.0
20180117,1400,-11.4,0.0
20180117,1500,-10.2,0.0
20180117,1600,-9.6,0.0
20180117,1700,-9.5,0.0
20180117,1800,-10.3,0.0
20180117,1900,-11.4,0.0
20180117,2000,-12.0,0.0
20180117,2100,-12.5,0.0
20180117,2200,-12.6,0.0
20180117,2300,-12.8,0.0
20180118,0000,-12.6,0.0
20180118,0100,-11.8,0.0
20180118,0200,-11.3,0.0
20180118,0300,-11.0,0.0
20180118,0400,-11.4,0.0
20180118,0500,-11.7,0.0
20180118,0600,-11.5,0.0
20180118,0700,-11.7,0.0
20180118,0800,-11.6,0.0
20180118,0900,-11.5,0.0
20180118,1000,-10.6,0.0
20180118,1100,-9.1,0.0
20180118,1200,-7.8,0.0
20180118,1300,-6.8,0.0
20180118,1400,-5.4,0.0
20180118,1500,-4.3,0.0
20180118,1600,-4.0,0.0
20180118,1700,-4.1,0.0
20180118,1800,-4.4,0.0
20180118,1900,-4.5,0.0
20180118,2000,-4.4,0.0
20180118,2100,-4.4,0.0
20180118,2200,-4.3,0.0
20180118,2300,-4.3,0.0
20180119,0000,-4.6,0.0
20180119,0100,-5.0,0.0
20180119,0200,-5.5,0.0
20180119,0300,-5.9,0.0
20180119,0400,-6.1,0.0
20180119,0500,-6.3,0.0
20180119,0600,-6.3,0.0
20180119,0700,-6.4,0.0
20180119,0800,-6.6,0.0
20180119,0900,-6.2,0.0
20180119,1000,-5.3,0.0
20180119,1100,-3.8,0.0
20180119,1200,-2.2,0.0
20180119,1300,-0.8,0.0
20180119,1400,0.7,0.0
20180119,1500,1.7,0.0
20180119,1600,2.3,0.0
20180119,1700,2.0,0.0
20180119,1800,1.6,0.0
20180119,1900,1.4,0.0
